,id,date,text,uuid
0,1,2007-07-15,"You draw the card when Bandage resolves, not when the damage is actually prevented.",6d268c95-c176-5766-9a46-c14f739aba1c
1,2,2007-02-01,"If you double a negative life total, you do the real math. A life total of -10 becomes -20.",56f4935b-f6c5-59b9-88bf-9bcce20247ce
2,3,2007-07-15,"Beacon of Immortality’s effect counts as life gain (or life loss, if the life total was negative) for effects that trigger on or replace life gain (or life loss).",56f4935b-f6c5-59b9-88bf-9bcce20247ce
3,4,2007-07-15,"If a Beacon is countered or doesn’t resolve, it’s put into its owner’s graveyard, not shuffled into the library.",56f4935b-f6c5-59b9-88bf-9bcce20247ce
4,5,2010-08-15,The affected creature’s last known existence on the battlefield is checked to determine its toughness.,7fef665c-36a1-5f7a-9299-cf8938708710
5,6,2008-08-01,"The ability triggers even if the Specter’s damage is being redirected to an opponent. It does not trigger if damage that would have been dealt to the opponent is redirected to a nonopponent player or a creature, or if the damage is prevented.",f39b4446-0ca6-5446-8507-4b1ba37bb3e7
6,7,2005-06-01,"You choose how the damage will be divided among the target creatures at the time you cast Hail of Arrows. Each target must be dealt at least 1 damage. If any of those creatures becomes an illegal target before Hail of Arrows resolves, the division of dama",c19bcfc2-fc10-5040-8239-1c193098df47
7,8,2007-07-15,"High Ground’s effect is cumulative. If you have a creature that can already block an additional creature, now it can block three creatures.",60f49caf-3583-5f85-b4b3-08dca73a8628
8,9,2007-07-15,"High Ground allows you to make some complicated blocks. For example, if you’re being attacked by three creatures (call them A, B, and C) and you control three creatures (X, Y, and Z), you can have X block A and B, Y block B and C, and Z block just C, amon",60f49caf-3583-5f85-b4b3-08dca73a8628
9,10,2009-10-01,"A “blocking creature” is one that has been declared as a blocker this combat, or one that was put onto the battlefield blocking this combat. Unless that creature leaves combat, it continues to be a blocking creature through the end of combat step, even if",9a14261a-b567-5429-a5ca-a913e15d8bf7
10,11,2007-07-15,"You can’t put an Aura card from your hand onto the battlefield this way if that Aura can’t legally enchant Academy Researchers. For example, you can’t put an Aura with “enchant land” or “enchant green creature” onto the battlefield attached to Academy Res",b8a68840-4044-52c0-a14e-0a1c630ba42c
11,12,2007-07-15,"If the chosen creature is copying something else (for example, if the chosen creature is another Clone), then your Clone enters the battlefield as whatever the chosen creature copied.",8dfc67e9-8323-5d1f-9e25-9f9394abd5a0
12,13,2007-07-15,"If the chosen creature is a token, Clone copies the original characteristics of that token as stated by the effect that put it onto the battlefield. Clone is not a token.",8dfc67e9-8323-5d1f-9e25-9f9394abd5a0
13,14,2007-07-15,Any enters-the-battlefield abilities of the copied creature will trigger when Clone enters the battlefield. Any “as [this creature] enters the battlefield” or “[this creature] enters the battlefield with” abilities of the chosen creature will also work.,8dfc67e9-8323-5d1f-9e25-9f9394abd5a0
14,15,2009-10-01,"If the chosen creature has {X} in its mana cost (such as Protean Hydra), X is considered to be zero.",8dfc67e9-8323-5d1f-9e25-9f9394abd5a0
15,16,2012-07-01,"Clone copies exactly what was printed on the original creature and nothing more (unless that creature is copying something else or is a token; see below). It doesn’t copy whether that creature is tapped or untapped, whether it has any counters on it or Au",8dfc67e9-8323-5d1f-9e25-9f9394abd5a0
16,17,2012-07-01,"If Clone somehow enters the battlefield at the same time as another creature, Clone can’t become a copy of that creature. You may choose only a creature that’s already on the battlefield.",8dfc67e9-8323-5d1f-9e25-9f9394abd5a0
17,18,2012-07-01,"You can choose not to copy anything. In that case, Clone enters the battlefield as a 0/0 Shapeshifter creature, and is probably put into the graveyard immediately.",8dfc67e9-8323-5d1f-9e25-9f9394abd5a0
18,19,2013-07-01,Clone’s ability doesn’t target the chosen creature.,8dfc67e9-8323-5d1f-9e25-9f9394abd5a0
19,20,2004-10-04,"If you increase the power of the targeted creature after the ability resolves, it still can’t be blocked that turn.",8d5f87fd-7a87-572b-bdce-303effec6b92
