,id,date,text,uuid
3407,3408,2004-10-04,"If there are less than 7 cards in the library, look at all of them. Put two into your hand, and the rest in the graveyard.",8c8d0389-4822-5f04-bd49-b6f58def95ad
3408,3409,2004-10-04,This is not considered a draw or a discard.,8c8d0389-4822-5f04-bd49-b6f58def95ad
8359,8360,2008-10-01,Cycling is an activated ability. Effects that interact with activated abilities (such as Stifle or Rings of Brighthearth) will interact with cycling. Effects that interact with spells (such as Remove Soul or Faerie Tauntings) will not.,ceedc6a5-a4e3-59c4-884d-d85076d8616d
8360,8361,2009-05-01,"The triggered ability acts as a cycle-triggered ability or as a leaves-the-battlefield ability, as appropriate. The player who controls the triggered ability is the player who cycled the Sojourner, or the player who last controlled the Sojourner on the ba",ceedc6a5-a4e3-59c4-884d-d85076d8616d
8361,8362,2009-05-01,"If you cycle this card, the cycling ability goes on the stack, then the triggered ability goes on the stack on top of it. The triggered ability will resolve before you draw a card from the cycling ability.",ceedc6a5-a4e3-59c4-884d-d85076d8616d
8362,8363,2009-05-01,"The cycling ability and the triggered ability are separate. If the triggered ability doesn’t resolve (due to being countered with Stifle, for example, or if all its targets have become illegal), the cycling ability will still resolve and you’ll draw a car",ceedc6a5-a4e3-59c4-884d-d85076d8616d
8363,8364,2009-05-01,You can cycle this card even if there are no targets for the triggered ability. That’s because the cycling ability itself has no targets.,ceedc6a5-a4e3-59c4-884d-d85076d8616d
15634,15635,2008-10-01,Cycling is an activated ability. Effects that interact with activated abilities (such as Stifle or Rings of Brighthearth) will interact with cycling. Effects that interact with spells (such as Remove Soul or Faerie Tauntings) will not.,0d6962de-90fc-51ba-8246-bc794ae1ee57
37242,37243,2017-07-14,"If a creature has been dealt damage, that damage remains marked on it until the cleanup step. If another Horse you control has been dealt lethal damage, and later in the turn Crested Sunmare leaves the battlefield, that Horse will be destroyed.",609cd717-5e92-5b4d-b04c-2e26b9965d2b
37243,37244,2017-07-14,Crested Sunmare’s triggered ability won’t trigger unless you’ve gained life in the turn before the end step began. It can’t be satisfied by another triggered ability causing you to gain life during that end step.,609cd717-5e92-5b4d-b04c-2e26b9965d2b
37244,37245,2017-07-14,"Crested Sunmare’s triggered ability cares only whether you gained life in the turn, even if Crested Sunmare wasn’t on the battlefield when that happened. It doesn’t care how much you gained, whether you also lost life, or even whether you lost more life t",609cd717-5e92-5b4d-b04c-2e26b9965d2b
38019,38020,2004-10-04,"If a player takes control of this card away from you, you do not lose 20 life because the loss of 20 life is a separate ability. That player is now subject to the loss.",a16252b5-83ec-5709-b42a-00fed3941629
42694,42695,2021-02-05,You can’t cast Blizzard Brawl unless you choose both a creature you control and one you don’t control as targets.,fea48b09-0f75-525a-8506-034130c0f6b6
42695,42696,2021-02-05,Check whether you control three or more snow permanents as Blizzard Brawl is resolving to see if the target creature you control gets +1/+0 and gains indestructible. That creature will still fight even if it doesn’t get those bonuses.,fea48b09-0f75-525a-8506-034130c0f6b6
42696,42697,2021-02-05,"If either target is an illegal target as Blizzard Brawl tries to resolve, neither creature will fight and no damage will be dealt.",fea48b09-0f75-525a-8506-034130c0f6b6
