,Id,PostTypeId,AcceptedAnswerId,CreaionDate,Score,ViewCount,Body,OwnerUserId,LasActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,LastEditorUserId,LastEditDate,CommunityOwnedDate,ParentId,ClosedDate,OwnerDisplayName,LastEditorDisplayName
85244,107797,2,,2014-07-13 16:53:59.0,2,,"<p>It depends on what you are trying to accomplish.  What distribution do you want the imputation to reflect? $$\\mathrm{N}(10, 25)$$ or $$\\mathrm{N}(10,\\frac{25}{\\sqrt{1000}})?$$ </p>

<p>Your second task could be accomplished in $0.1\\%$ of the time by implementing my second suggestion.</p>

<p>I want to emphasize that I am <strong>not</strong> endorsing <em>either</em> of these approaches for your intended application (imputing missing values).  My point is that sampling $n$ i.i.d $\\mathrm{N}(\\mu, \\sigma^2)$ and computing $\\bar{X}_n$ is exactly equivalent (and indistinguishable) from drawing a single value from $\\mathrm{N}(\\mu, \\frac{\\sigma^2}{n})$, provided you discard the observations in the first case.</p>
",48148.0,2014-07-13 22:59:17.0,,,,0,,48148.0,2014-07-13 22:59:17.0,,107795.0,,,
6598,7153,1,7163.0,2011-02-13 14:05:19.0,1,132.0,"<p>I would like to have a good idea on how to design clinical trials in oncology. In that issue, I am looking for a compact book that could give me a good overview, with the emphasis on statistical considerations.
Would you have a recommendation for me?</p>

<p>Thank you in advance,
Marco</p>
",3019.0,2011-02-13 23:51:13.0,Book on designing clinical trials in oncology,<books><experiment-design><clinical-trials>,1.0,4,1.0,183.0,2011-02-13 23:51:13.0,,,,,
66487,82081,2,,2014-01-13 11:12:56.0,1,,"<p>Q1 is known on Wikipedia as the <a href=""http://en.wikipedia.org/wiki/Coupon_collector%27s_problem"" rel=""nofollow"">Coupon collector's problem</a></p>

<p>This is a Geometric distribution with variable rate.  It can be considered as a sequence of independent processes with stepped rate, i.e. with the rate constant changing only after each 'unique' ball is drawn.  </p>

<p>Q1. When K balls are known, the rate of discovery of ""new"" balls with replacement is rate=(N-K)/N and the expected time to a ""new ball"" event is 1/rate = N/(N-K).</p>

<p>We need to set N=50 and sum the expected times from K=0..(N-1)</p>

<p>Expected time to complete = 50/50 + 50/49 + 50/48 + ... + 50/1</p>

<p>In python this is: <code>sum([50.0/(k+0.0) for k in range(1,51)])</code> </p>

<p>I get ~ 224.96</p>

<p>As for Q2, I would suggest Monte Carlo simulation.</p>
",87.0,2014-01-13 11:23:08.0,,,,1,,87.0,2014-01-13 11:23:08.0,,82072.0,,,
38354,46315,2,,2012-12-20 16:27:22.0,3,,"<p>A quick way to get at the standardized beta coefficients directly from any lm (or glm) model in R, try using <code>lm.beta(model)</code>. In the example provided, this would be:</p>

<pre><code>library(""MASS"")
nb = glm.nb(responseCountVar ~ predictor1 + predictor2 + 
    predictor3 + predictor4 + predictor5 + predictor6 + 
    predictor7 + predictor8 + predictor9 + predictor10 + 
    predictor11 + predictor12 + predictor13 + predictor14 + 
    predictor15 + predictor16 + predictor17 + predictor18 + 
    predictor19 + predictor20 + predictor21,
    data=myData, control=glm.control(maxit=125))
summary(nb)

library(QuantPsyc)
lm.beta(nb)
</code></pre>
",17915.0,2012-12-20 16:27:22.0,,,,0,,,,,46312.0,,,
48977,60435,2,,2013-05-30 10:11:57.0,5,,"<p>Although you have given some details, this is too close to ""I have some data, want to fit a regression, and can't interpret my model easily"" to allow much to be said easily that is likely to be really helpful. Too much depends on what your field is, what models make sense or are interesting substantively in that field, etc., not to mention finer details of your data. Not least, what is ""interpretation""? It can mean anything from ""I don't understand the statistics here, so need technical explanation on my level"" to ""What does this imply in subject-matter terms?"". </p>

<p>But (personal opinions mixed in here) </p>

<ul>
<li><p>If your response or dependent variable is a count, I would expect Poisson regression to make much more sense than regression. Even if it is a measured number of years that is zero upwards, I would still expect that. <a href=""http://blog.stata.com/tag/poisson-regression/"" rel=""nofollow"">http://blog.stata.com/tag/poisson-regression/</a> is one account rich in Stata context. </p></li>
<li><p>The idea of Box-Cox is letting your data indicate which transformations make most sense. However, Box-Cox like much else is a knife that you can cut yourself with. The original examples are instructive: Box and Cox didn't use the precise powers indicated, but logarithm and reciprocal, which made sense on other grounds. Unless you are fitting a power law, it is usually more practical to regard Box-Cox as pointing to one of a small number of standard transformations, most commonly log, root or reciprocal. It is rare that (say) powers such as 0.4 can be related to substantive literature unless there is good theory underpinning the use of fractional powers in the first place. The fact that most common transformations can be regarded as members of a family doesn't mean that all members of that family are equally helpful. </p></li>
</ul>
",22047.0,2013-05-30 19:29:34.0,,,,7,,22047.0,2013-05-30 19:29:34.0,,60431.0,,,
49652,61283,2,,2013-06-09 12:44:05.0,3,,"<p>The p-value for the t-test is computed under the assumption that all observations are independent. Computing probabilities (such as the p-value) is much more difficult when you're dealing with dependent variables, and it is not always easy to see mathematically where things go wrong with the test in the presence of dependence. We can however easily illustrate the problem with a simulation.</p>

<p>Consider for instance the case where there are 5 classrooms in each of the two schools, with 10 students in each classroom. Under the assumption of normality, the p-value of the test should be uniformly distributed on the interval $(0,1)$ if there is no difference in mean test scores between all the classrooms. That is, if we performed  a lot of studies like this and plotted a histogram of all the p-values, it should resemble <a href=""http://en.wikipedia.org/wiki/Uniform_distribution_%28continuous%29"" rel=""nofollow"">the box-shaped uniform distribution</a>.</p>

<p>However, if there is somewithin-classroom correlation between students' results, the p-values no longer behave as they should. A positive correlation (as one might expect here) will often lead to p-values that are too small, so that the null hypothesis will be rejected too often when it in fact is true. An R simulation illustrating this can be found below. 1000 studies of two schools are simulated for different within-classroom correlations. The p-values of the correpsonding t-test are shown in the histograms in the figure. They are uniformly distributed when there is no correlation, but not otherwise. In the simulation, it is assumed that there are no mean differences between classrooms, and that all classrooms have the same within-classroom correlation.</p>

<p>The consequence of this phenomenon is that the <a href=""http://en.wikipedia.org/wiki/Type_I_error_rate"" rel=""nofollow"">type I error rate</a> of the t-test will be way off if there are within-classroom correlations present. As an example, a t-test at the 5 % level is in fact approximately at the 25 % level if the within-classroom correlation is 0.1! In other words, <strong>the risk of falsely rejecting the null hypothesis increases dramatically when the observations are dependent</strong>.</p>

<hr>

<p><img src=""http://i.stack.imgur.com/vEfZz.png"" alt=""Simulation"">
Note that the axes differ somewhat between the histograms.</p>

<p>R code:</p>

<pre><code>library(MASS) 
B1&lt;-1000

par(mfrow=c(3,2))

for(correlation in c(0,0.1,0.25,0.5,0.75,0.95))
{
# Create correlation/covariance matrix and mean vector
Sigma&lt;-matrix(correlation,10,10)
diag(Sigma)&lt;-1
mu&lt;-rep(5,10)

# Simulate B1 studies of two schools A and B
p.value&lt;-rep(NA,B1)
for(i in 1:B1)
{
    # Generate observations of 50 students from school A
    A&lt;-as.vector(mvrnorm(n=5,mu=mu,Sigma=Sigma))

    # Generate observations of 50 students from school B
    B&lt;-as.vector(mvrnorm(n=5,mu=mu,Sigma=Sigma))

    p.value[i]&lt;-t.test(A,B)$p.value
}

# Plot histogram
hist(p.value,main=paste(""Within-classroom correlation:"",correlation),xlab=""p-value"",cex.main=2,cex.lab=2,cex.axis=2)
}
</code></pre>
",8507.0,2013-06-09 12:55:42.0,,,,2,,8507.0,2013-06-09 12:55:42.0,,61266.0,,,
24901,27730,1,27744.0,2012-05-04 03:52:09.0,25,4976.0,"<p>I've been using the <em>K-Fold cross validation</em> a few times now to evaluate performance of some learning algorithms, but I've always been puzzled as to how I should choose the value of K.</p>

<p>I've often seen and used a value of <code>K = 10</code>, but this seems totally arbitrary to me, and I now just use 10 by habit instead of thinking it over. To me it seems that you're getting a better granularity as you improve the value of K, so ideally you should make your K very large, but there is also a risk to be biased.</p>

<p>I'd like to know on what the value of K should depend, and how I should be thinking about this when I evaluate my algorithm. Does it change something if I use the <em>stratified</em> version of the cross validation or not?</p>
",10683.0,2012-05-06 02:00:08.0,Choice of K in K-Fold cross validation,<machine-learning><classification><cross-validation>,2.0,0,14.0,,,,,,,
60518,74176,2,,2013-10-30 20:52:06.0,3,,"<p>It is certainly possible and does happen quite frequently, especially if there are many pairwise comparisons (which is likely the case if you're investigating an interaction term).  </p>

<p>The Tukey procedure controls the Type I error rate and requires a larger difference to declare significance compared to if no adjustment was used.  The ANOVA F-test uses MSE in the denominator which borrows information from all the data and is not affected by this adjustment.</p>
",2310.0,2013-10-30 20:52:06.0,,,,0,,,,,74174.0,,,
4940,5346,1,,2010-12-10 10:54:27.0,7,1416.0,"<p>I understand that in One-Way ANOVA two alternative F-Ratios have been derived to be robust when homogeneity of variance has been violated. Tomarkin and Serlin (1986) review amongst other techniques the Brown-Forsythe and Welch F-Ratios and conclude that both control the type I error rate well.</p>

<p>So far I have only come across W and B-Fs F Ratios in One-Way ANOVAS. Am I able to use them in ANOVAS with two factors? And if no, why not?</p>

<p>Thanks</p>
",,2013-02-23 21:31:46.0,Brown-Forsythe and Welch f-ratios in two-way ANOVAs?,<anova><homogeneity>,2.0,0,2.0,88.0,2010-12-10 11:03:12.0,,,,Alex,
34491,40766,1,,2012-10-19 17:13:31.0,1,108.0,"<p>Is it possible to fit an ARIMA under a restriction that bounds the minimum to positive values? I'm using Minitab. </p>
",16028.0,2012-10-19 17:13:31.0,ARIMA Forecast Restrictions,<forecasting><arima><minitab>,0.0,1,,,,,,,,
